,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
1398,1953-08-03,02:28:00,"Off Fethiye Point, Turkey",Air France,Lockheed L- 749A Constellation,42,34,8,4,4,0,0
1399,1953-08-03,22:37:00,"Sharjah, United Arab Emirates",Orient Airways,Douglas DC-3,25,21,4,1,1,0,0
1400,1953-08-05,,Off Irish coast,Military - U.S. Air Force,Convair B-36,23,0,23,19,0,19,0
1401,1953-08-18,,"Near San Diego, California",Aerovias Contreras,Curtiss C-46A,2,0,2,2,0,2,0
1402,1953-09-01,23:30:00,"Near Barcelonnette, France",Air France,Lockheed 749A Constellation,42,33,9,42,33,9,0
1403,1953-09-01,18:42:00,"Vail, Washington",Regina Cargo Airlines,Douglas DC-3,21,19,2,21,19,2,0
1404,1953-09-08,13:16:00,"San Andres, Honduras",TACA,Douglas C-47A,3,0,3,3,0,3,0
1405,1953-09-14,,"Chablekal, Mexico",Transportes Aéreos Mexicanos,Douglas C-47A,2,0,2,1,0,1,0
1406,1953-09-16,08:34:00,"Albany, New York",American Airlines,Convair CV-240-0,28,25,3,28,25,3,0
1407,1953-09-25,10:10:00,"Ankara, Turkey",Devlet Hava Yollari,Douglas DC-3,21,16,5,5,1,4,0
1408,1953-09-28,16:18:00,"Louisville, Kentucky",Resort Airlines,Curtiss C-46F-1-CU,41,38,3,25,22,3,0
1409,1953-10-14,14:54:00,"Frankfurt, Germany",Sabena,Convair CV-240-12,44,40,4,44,40,4,0
1410,1953-10-17,,"Lai Chau, Vietnam",Compagnie Sila,Douglas C-47B,7,0,7,2,0,2,0
1411,1953-10-19,00:56:00,"New York City, New York",Eastern Air Lines,Lockheed 749A Constellation,27,22,5,2,2,0,0
1412,1953-10-19,07:10:00,"Near Monterrey, Mexico",Aerovias Contreras,Douglas C-46A-CU ( DC-3),21,18,3,21,18,3,0
